case,run_id,mu.post,sigma.post,pi,pj,mu,sigma,kl,map_mu,map_sig,mu_low,mu_hi,sig_low,sig_hi,pd_mu,ps_mu,pd_sig,ps_sig
5,5,1.09685528529209,1.74982665045094,2,2,1,1.78,0.315857334191253,1.07798920513568,1.75171651685694,0.480188618625421,2.3839933171176,1.41649331711761,2.3839933171176,1,1,1,1
5,6,1.09685528529209,1.68315998378427,2,3,1,1.78,0.160507594048103,0.996643489919001,1.693717168535,0.463521951958754,2.24982665045094,1.41649331711761,2.24982665045094,1,1,1,1
5,7,0.963521951958754,1.74982665045094,3,1,1,1.78,0.0966120483593153,1.01738314452962,1.74888171724794,0.496855285292088,2.14982665045094,1.41649331711761,2.14982665045094,1,1,1,1
5,8,0.963521951958754,1.74982665045094,3,2,1,1.78,0.209068372257093,0.971114001486287,1.73750993490841,0.463521951958754,2.41649331711761,1.41649331711761,2.41649331711761,1,1,1,1
5,9,0.963521951958754,1.68315998378427,3,3,1,1.78,0.229820914315091,0.981948149417209,1.73614141095925,0.480188618625421,2.24982665045094,1.44982665045094,2.24982665045094,1,1,1,1
6,1,1.00264018509426,0.328175194874367,1,1,1,0.32,0.0052336485433182,1.01935572761626,0.328175194874367,0.952640185094263,0.44226279231155,0.328175194874367,0.44226279231155,1,1,1,1
6,2,1.00264018509426,0.299653295515071,1,2,1,0.32,0.00357151349993221,0.986006102331148,0.299709056804141,0.952640185094263,0.413740892952254,0.242609496796479,0.413740892952254,1,1,1,1
6,3,1.00264018509426,0.299653295515071,1,3,1,0.32,0.00724115816011086,1.00273793680492,0.299653295515071,0.952640185094263,0.44226279231155,0.242609496796479,0.44226279231155,1,1,1,1
6,4,1.00264018509426,0.328175194874367,2,1,1,0.32,0.00389260807245323,0.986071270138251,0.328175194874367,0.952640185094263,0.44226279231155,0.328175194874367,0.44226279231155,1,1,1,1
6,5,1.00264018509426,0.299653295515071,2,2,1,0.32,0.00348551915474968,1.00273793680492,0.328175194874366,0.952640185094263,0.44226279231155,0.271131396155775,0.44226279231155,1,1,1,1
6,6,1.00264018509426,0.299653295515071,2,3,1,0.32,0.00265080830531172,0.985875766716942,0.328258836807971,0.952640185094263,0.414453940436236,0.242609496796479,0.414453940436236,1,1,1,1
6,7,1.00264018509426,0.328175194874367,3,1,1,0.32,0.00461733849866485,1.03590835062049,0.328175194874367,0.952640185094263,0.44226279231155,0.328175194874367,0.44226279231155,1,1,1,1
6,8,1.00264018509426,0.299653295515071,3,2,1,0.32,0.00515773056123127,0.986006102331148,0.328175194874367,0.952640185094263,0.413740892952254,0.271131396155775,0.413740892952254,1,1,1,1
6,9,1.00264018509426,0.299653295515071,3,3,1,0.32,0.00594338671566926,1.01920910005027,0.328119433585297,0.952640185094263,0.44226279231155,0.271131396155775,0.44226279231155,1,1,1,1
7,1,2.7084986758414,2.9349098281867,1,1,2,3.16,0.247774512583169,2.83039505902811,2.95543768742424,2.6084986758414,3.80157649485337,2.9349098281867,3.80157649485337,1,1,1,1
7,2,2.7084986758414,2.76824316152004,1,2,2,3.16,0.134561277667076,2.73362086547972,2.86110728664222,2.62516534250807,3.83574316152003,2.46824316152004,3.83574316152003,1,1,1,1
7,3,2.7084986758414,2.96824316152004,1,3,2,3.16,0.252795703544065,2.70820542070944,2.98388343522483,2.6084986758414,3.76907649485337,2.46824316152004,3.76907649485337,1,1,1,1
7,4,2.72516534250807,2.9349098281867,2,1,2,3.16,0.0859818102872065,2.76978899842205,3.02190885066959,2.62516534250807,3.76824316152004,2.9349098281867,3.76824316152004,1,1,1,1
7,5,2.72516534250807,2.76824316152004,2,2,2,3.16,0.118685955218941,2.76587892999585,2.78616430847344,2.62516534250807,3.76907649485337,2.4349098281867,3.76907649485337,1,1,1,1
7,6,2.72516534250807,2.96824316152004,2,3,2,3.16,0.356603839412779,2.74632858786486,3.06547352971815,2.6247486758414,3.76824316152004,2.50157649485337,3.76824316152004,1,1,1,1
7,7,3.1084986758414,2.9349098281867,3,1,2,3.16,0.283397319167353,3.09725722911608,2.97596554666177,2.6084986758414,3.80157649485337,2.9349098281867,3.80157649485337,1,1,1,1
7,8,3.07516534250807,2.80157649485337,3,2,2,3.16,0.192001455266764,3.07086426723925,2.92627509374552,2.62516534250807,3.76824316152004,2.46824316152004,3.76824316152004,1,1,1,1
7,9,3.1084986758414,3.00157649485337,3,3,2,3.16,0.144513641923618,2.86656319197043,3.02366838146138,2.62516534250807,3.76907649485337,2.5349098281867,3.76907649485337,1,1,1,1
8,1,2.09569370474782,1.64499726403258,1,1,2,1.78,0.0848021441842647,2.21846985333042,1.66878351362528,1.67902703808115,2.27833059736591,1.54499726403258,2.27833059736591,1,1,1,1
8,2,2.09569370474782,1.64499726403258,1,2,2,1.78,0.125164579221193,2.20967219937147,1.6593341815953,1.66236037141449,2.27916393069924,1.34416393069925,2.27916393069924,1,1,1,1
8,3,2.09569370474782,1.71166393069925,1,3,2,1.78,0.13753814613863,2.07086477024146,1.68442378733007,1.66236037141449,2.27833059736591,1.41166393069925,2.27833059736591,1,1,1,1
8,4,2.09569370474782,1.64499726403258,2,1,2,1.78,0.0487670498633356,2.12658324531478,1.64327031714434,1.67902703808115,2.27833059736591,1.54499726403258,2.27833059736591,1,1,1,1
8,5,2.09569370474782,1.64499726403258,2,2,2,1.78,0.0837624904429847,2.08846007815935,1.68377210925904,1.67902703808115,2.31166393069925,1.34499726403258,2.31166393069925,1,1,1,1
8,6,2.09569370474782,1.71166393069925,2,3,2,1.78,0.0722279729889282,2.08846007815935,1.74017484630693,1.67861037141448,2.27833059736591,1.41166393069925,2.27833059736591,1,1,1,1
8,7,2.12902703808115,1.64499726403258,3,1,2,1.78,0.0239222067663724,2.12853827952788,1.76982619853893,1.67902703808115,2.27833059736591,1.54499726403258,2.27833059736591,1,1,1,1
8,8,2.12902703808115,1.64499726403258,3,2,2,1.78,0.0909338180205662,2.06793221892181,1.63916474529684,1.67902703808115,2.24499726403258,1.34499726403258,2.24499726403258,1,1,1,1
8,9,2.12902703808115,1.71166393069925,3,3,2,1.78,0.0382100265171286,2.12853827952788,1.68872486259889,1.67902703808115,2.24499726403258,1.34499726403258,2.24499726403258,1,1,1,1
9,1,2.27173877089943,0.355140331280826,1,1,2,0.32,0.00161378447492017,,,,,,,,,,
9,2,2.27173877089943,0.406168397536992,1,2,2,0.32,,,,,,,,,,,
9,3,2.27173877089943,0.406168397536992,1,3,2,0.32,,,,,,,,,,,
9,4,2.27173877089943,0.355140331280826,2,1,2,0.32,,,,,,,,,,,
9,5,2.27173877089943,0.406168397536992,2,2,2,0.32,,,,,,,,,,,
9,6,2.27173877089943,0.406168397536992,2,3,2,0.32,,,,,,,,,,,
9,7,2.27173877089943,0.355140331280826,3,1,2,0.32,,,,,,,,,,,
9,8,2.27173877089943,0.406168397536992,3,2,2,0.32,,,,,,,,,,,
9,9,2.27173877089943,0.406168397536992,3,3,2,0.32,,,,,,,,,,,
